住宅價格月指數類別,月指數,季移動平均數,半年移動平均數,月指數變動率,季移動平均數變動率,半年移動平均數變動率,標準住宅總價,標準住宅單價
全市小宅,95.76 ,97.06 ,97.82 ,-0.0327,-0.0061,-0.0054,827.00 ,59.10 
全市小宅,96.40 ,97.05 ,97.30 ,0.0067,0,-0.0053,833.00 ,59.49 
全市小宅,95.82 ,95.99 ,96.83 ,-0.006,-0.0109,-0.0049,828.00 ,59.14 
全市小宅,96.85 ,96.36 ,96.71 ,0.0107,0.0038,-0.0012,837.00 ,59.77 
全市小宅,99.02 ,97.23 ,97.14 ,0.0224,0.0091,0.0045,856.00 ,61.11 
全市小宅,100.16 ,98.68 ,97.34 ,0.0115,0.0149,0.002,865.00 ,61.81 
全市小宅,98.91 ,99.36 ,97.86 ,-0.0125,0.007,0.0054,855.00 ,61.04 
全市小宅,96.82 ,98.63 ,97.93 ,-0.0211,-0.0074,0.0007,837.00 ,59.75 
全市小宅,98.95 ,98.23 ,98.45 ,0.022,-0.0041,0.0053,855.00 ,61.07 
全市小宅,96.66 ,97.48 ,98.42 ,-0.0231,-0.0076,-0.0003,835.00 ,59.66 
全市小宅,98.69 ,98.10 ,98.37 ,0.021,0.0064,-0.0006,853.00 ,60.91 
全市小宅,98.96 ,98.10 ,98.17 ,0.0027,0,-0.002,855.00 ,61.07 
全市小宅,101.23 ,99.63 ,98.55 ,0.0229,0.0155,0.0039,875.00 ,62.48 
全市小宅,99.08 ,99.76 ,98.93 ,-0.0212,0.0013,0.0038,856.00 ,61.14 
全市小宅,97.35 ,99.22 ,98.66 ,-0.0175,-0.0054,-0.0027,841.00 ,60.08 
全市小宅,99.31 ,98.58 ,99.10 ,0.0201,-0.0065,0.0045,858.00 ,61.29 
全市小宅,100.24 ,98.97 ,99.36 ,0.0094,0.0039,0.0026,866.00 ,61.86 
全市小宅,101.63 ,100.39 ,99.81 ,0.0139,0.0144,0.0045,878.00 ,62.72 
全市小宅,101.82 ,101.23 ,99.91 ,0.0019,0.0083,0.001,880.00 ,62.84 
全市小宅,99.21 ,100.89 ,99.93 ,-0.0256,-0.0034,0.0002,857.00 ,61.23 
全市小宅,97.20 ,99.41 ,99.90 ,-0.0203,-0.0146,-0.0003,840.00 ,59.99 
全市小宅,99.04 ,98.48 ,99.86 ,0.0189,-0.0093,-0.0005,856.00 ,61.12 
全市小宅,100.12 ,98.79 ,99.84 ,0.0109,0.0031,-0.0002,865.00 ,61.79 
全市小宅,102.81 ,100.66 ,100.03 ,0.0269,0.0189,0.002,888.00 ,63.45 
全市小宅,101.47 ,101.47 ,99.98 ,-0.013,0.008,-0.0006,877.00 ,62.62 
全市小宅,99.62 ,101.30 ,100.04 ,-0.0182,-0.0016,0.0007,861.00 ,61.48 
全市小宅,98.41 ,99.83 ,100.25 ,-0.0121,-0.0145,0.002,850.00 ,60.73 
全市小宅,100.07 ,99.37 ,100.42 ,0.0169,-0.0047,0.0017,865.00 ,61.76 
全市小宅,100.62 ,99.70 ,100.50 ,0.0055,0.0034,0.0008,869.00 ,62.10 
全市小宅,100.33 ,100.34 ,100.09 ,-0.0029,0.0064,-0.0041,867.00 ,61.92 
全市小宅,99.19 ,100.05 ,99.71 ,-0.0114,-0.0029,-0.0038,857.00 ,61.21 
全市小宅,100.78 ,100.10 ,99.90 ,0.016,0.0005,0.0019,871.00 ,62.19 
全市小宅,100.86 ,100.28 ,100.31 ,0.0008,0.0018,0.0041,871.00 ,62.25 
全市小宅,100.47 ,100.70 ,100.38 ,-0.0039,0.0043,0.0007,868.00 ,62.00 
全市小宅,99.93 ,100.42 ,100.26 ,-0.0054,-0.0028,-0.0011,863.00 ,61.67 
全市小宅,99.66 ,100.02 ,100.15 ,-0.0027,-0.004,-0.0011,861.00 ,61.51 
全市小宅,100.75 ,100.11 ,100.41 ,0.0109,0.0009,0.0026,870.00 ,62.18 
全市小宅,101.59 ,100.67 ,100.54 ,0.0083,0.0055,0.0013,878.00 ,62.70 
全市小宅,102.12 ,101.49 ,100.75 ,0.0052,0.0081,0.0021,882.00 ,63.02 
全市小宅,101.31 ,101.67 ,100.89 ,-0.0079,0.0018,0.0014,875.00 ,62.53 
全市小宅,100.27 ,101.23 ,100.95 ,-0.0103,-0.0043,0.0006,866.00 ,61.88 
全市小宅,100.58 ,100.72 ,101.10 ,0.0031,-0.0051,0.0015,869.00 ,62.07 
全市小宅,102.70 ,101.18 ,101.43 ,0.0211,0.0046,0.0032,887.00 ,63.38 
全市小宅,104.15 ,102.48 ,101.86 ,0.0141,0.0128,0.0042,900.00 ,64.28 
全市小宅,103.64 ,103.50 ,102.11 ,-0.0049,0.01,0.0025,895.00 ,63.96 
全市小宅,103.25 ,103.68 ,102.43 ,-0.0038,0.0018,0.0032,892.00 ,63.72 
全市小宅,104.07 ,103.65 ,103.07 ,0.0079,-0.0003,0.0062,899.00 ,64.23 
全市小宅,103.65 ,103.66 ,103.58 ,-0.004,0,0.005,896.00 ,63.97 
全市小宅,103.49 ,103.74 ,103.71 ,-0.0015,0.0008,0.0013,894.00 ,63.87 
全市小宅,105.12 ,104.09 ,103.87 ,0.0158,0.0034,0.0016,908.00 ,64.87 
